Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
11432,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210800197,MPPS MOULA ALI,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,261,04_251-1000,0.75,75000,75000,54000,12750,8250,
11433,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890228,ZPHS MOULA ALI,7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,246,03_101-250,0.50,50000,50000,36000,8500,5500,
11434,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890236,MPPS B MALKAJGIRI,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,162,03_101-250,0.50,50000,50000,36000,8500,5500,
11435,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890433,ZPHS BOYS MALKAJGIRI,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,396,04_251-1000,0.75,75000,75000,54000,12750,8250,
11436,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890434,ZPHS GIRLS MALKAJGIRI,7,03_HS,01_Govt_Localbody,sec_hsec,15_401 to 500,437,04_251-1000,0.75,75000,75000,54000,12750,8250,
11437,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890435,ZPHS NAREDMET,7,03_HS,01_Govt_Localbody,sec_hsec,17_601 to 700,632,04_251-1000,0.75,75000,75000,54000,12750,8250,
11438,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890436,GOVT.HS MOULALI,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,303,04_251-1000,0.75,75000,75000,54000,12750,8250,
11439,3621,MEDCHAL MALKAJGIRI,362108,MALKAJGIRI,36210890608,GOVT.JUNIOR COLLEGE MALKAJGIRI,11,05_JRC,01_Govt_Localbody,sec_hsec,21_1001 to 1500,1054,05_g1000,1.00,100000,100000,72000,17000,11000,
11440,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100201,MPPS SREERANGAVARAM,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,150,03_101-250,0.50,50000,50000,36000,8500,5500,
11441,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100203,ZPHS SREERANGAVARAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,187,03_101-250,0.50,50000,50000,36000,8500,5500,
11442,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100401,MPPS BANDAMADHARAM,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,27,01_1-30,0.10,10000,10000,7200,1700,1100,
11443,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100501,MPPS NUTHANKAL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,142,03_101-250,0.50,50000,50000,36000,8500,5500,
11444,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100502,ZPHS NUTHANKAL,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,114,03_101-250,0.50,50000,50000,36000,8500,5500,
11445,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100604,MPPS MAISIREDDYPALLY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
11446,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100701,MPPS KONAIPALLI,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
11447,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100802,MPUPS YELLAMPET,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,116,03_101-250,0.50,50000,50000,36000,8500,5500,
11448,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210100901,MPPS SOMARAM,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,43,02_31-100,0.25,25000,25000,18000,4250,2750,
11449,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101001,MPPS RAVALKOLE TANDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
11450,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101004,MPPS RAVALKOLE,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,137,03_101-250,0.50,50000,50000,36000,8500,5500,
11451,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101006,ZPHS RAVALKOLE,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,191,03_101-250,0.50,50000,50000,36000,8500,5500,
11452,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101101,MPPS AKBARJAPET,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
11453,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101303,NNRSR ZPHS ATHVELLY,7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,297,04_251-1000,0.75,75000,75000,54000,12750,8250,
11454,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101401,MPPS LINGAPUR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,16,01_1-30,0.10,10000,10000,7200,1700,1100,
11455,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101403,MPPS DABILPUR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,166,03_101-250,0.50,50000,50000,36000,8500,5500,
11456,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101501,MPPS GIRMAPUR,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,79,02_31-100,0.25,25000,25000,18000,4250,2750,
11457,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101503,ZPHS GIRMAPUR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,158,03_101-250,0.50,50000,50000,36000,8500,5500,
11458,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101601,MPPS RAYALAPUR,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,42,02_31-100,0.25,25000,25000,18000,4250,2750,
11459,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101701,MPPS GOWDAVELLY,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,153,03_101-250,0.50,50000,50000,36000,8500,5500,
11460,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101801,MPPS MAISAMMAGUDA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,44,02_31-100,0.25,25000,25000,18000,4250,2750,
11461,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101802,MPPS LAXMINAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,146,03_101-250,0.50,50000,50000,36000,8500,5500,
11462,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101803,MPPS GUNDALAPOCHAMPALLE,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,182,03_101-250,0.50,50000,50000,36000,8500,5500,
11463,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210101820,MPPS GNAPUR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
11464,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102001,MPPS KANDLAKOYA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,129,03_101-250,0.50,50000,50000,36000,8500,5500,
11465,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102101,MPPS SUTHARIGUDA,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,90,02_31-100,0.25,25000,25000,18000,4250,2750,
11466,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102201,MPPS MUNEERABAD,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,101,03_101-250,0.50,50000,50000,36000,8500,5500,
11467,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102202,ZPHS MUNEERABAD,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,107,03_101-250,0.50,50000,50000,36000,8500,5500,
11468,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102301,MPPS PUDUR MEDCHAL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,119,03_101-250,0.50,50000,50000,36000,8500,5500,
11469,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102305,ZPHS PUDUR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,178,03_101-250,0.50,50000,50000,36000,8500,5500,
11470,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102402,MPPS RAJABOLLARAM,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,81,02_31-100,0.25,25000,25000,18000,4250,2750,
11471,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102403,MPUPS RAJABOLLARAM,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,104,03_101-250,0.50,50000,50000,36000,8500,5500,
11472,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102404,ZPHS RAJABOLLARAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,138,03_101-250,0.50,50000,50000,36000,8500,5500,
11473,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102501,MPPS GHANPUR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,36,02_31-100,0.25,25000,25000,18000,4250,2750,
11474,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102502,MPPS GHANPUR TANDA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,46,02_31-100,0.25,25000,25000,18000,4250,2750,
11475,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102701,MPPS MEDCHAL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,175,03_101-250,0.50,50000,50000,36000,8500,5500,
11476,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102702,MPPS RATHAM SALA,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,194,03_101-250,0.50,50000,50000,36000,8500,5500,
11477,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102703,MPPS KISTAPUR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,39,02_31-100,0.25,25000,25000,18000,4250,2750,
11478,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102704,MPPS HANUMANNAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,65,02_31-100,0.25,25000,25000,18000,4250,2750,
11479,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102711,MPPS RLY STATION RAOD,1,01_PS,01_Govt_Localbody,Elementary,14_301 to 400,393,04_251-1000,0.75,75000,75000,54000,12750,8250,
11480,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102716,ZPHS MEDCHAL (B),7,03_HS,01_Govt_Localbody,sec_hsec,15_401 to 500,495,04_251-1000,0.75,75000,75000,54000,12750,8250,
11481,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102717,ZPHS MEDCHAL (G),7,03_HS,01_Govt_Localbody,sec_hsec,15_401 to 500,481,04_251-1000,0.75,75000,75000,54000,12750,8250,
11482,3621,MEDCHAL MALKAJGIRI,362101,MEDCHEL,36210102754,"GOVT. JR. COLLEGE , MEDCHAL, RANGA REDDY DIST.",11,05_JRC,01_Govt_Localbody,sec_hsec,15_401 to 500,456,04_251-1000,0.75,75000,75000,54000,12750,8250,
11483,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000301,MPPS BODUPPAL (HW),1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,73,02_31-100,0.25,25000,25000,18000,4250,2750,
11484,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000302,MPPS INDIRA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,83,02_31-100,0.25,25000,25000,18000,4250,2750,
11485,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000303,MPPS BAYANNAGUDA,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,62,02_31-100,0.25,25000,25000,18000,4250,2750,
11486,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000304,MPPS DEVENDER NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,112,03_101-250,0.50,50000,50000,36000,8500,5500,
11487,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000305,MPPS BODUPPAL,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,180,03_101-250,0.50,50000,50000,36000,8500,5500,
11488,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000406,MPPS MEDIPALLY,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,246,03_101-250,0.50,50000,50000,36000,8500,5500,
11489,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000501,MPPS PEERZADIGUDA (UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,92,02_31-100,0.25,25000,25000,18000,4250,2750,
11490,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000502,MPPS HANUMAN NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,61,02_31-100,0.25,25000,25000,18000,4250,2750,
11491,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000503,MPPS MALLIKARJUNA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,67,02_31-100,0.25,25000,25000,18000,4250,2750,
11492,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000510,MPPS PEERZADIGUDA (TM),1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,261,04_251-1000,0.75,75000,75000,54000,12750,8250,
11493,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000549,ZPHS PEERZADIGUDA,7,03_HS,01_Govt_Localbody,sec_hsec,14_301 to 400,367,04_251-1000,0.75,75000,75000,54000,12750,8250,
11494,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000601,MPHS CHENGICHERLA,6,03_HS,01_Govt_Localbody,sec_hsec,16_501 to 600,577,04_251-1000,0.75,75000,75000,54000,12750,8250,
11495,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000801,MPPS GANDHI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,106,03_101-250,0.50,50000,50000,36000,8500,5500,
11496,3621,MEDCHAL MALKAJGIRI,362110,MEDIPALLY,36211000806,MPUPS PARVATHAPUR,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,110,03_101-250,0.50,50000,50000,36000,8500,5500,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
11497,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500101,MPPS KOLTHUR,1,01_PS,01_Govt_Localbody,Elementary,07_51 to 60,55,02_31-100,0.25,25000,25000,18000,4250,2750,
11498,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500102,MPPS KOLTHUR HARIJANWADA,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,75,02_31-100,0.25,25000,25000,18000,4250,2750,
11499,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500103,ZPHS KOLTHUR,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,190,03_101-250,0.50,50000,50000,36000,8500,5500,
11500,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500201,MPPS ANANTHARAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
11501,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500202,ZPHS ANANTHARAM,7,03_HS,01_Govt_Localbody,sec_hsec,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
11502,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500301,MPPS NARAYANAPUR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
11503,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500401,MPPS LAKSHAMAPUR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,67,02_31-100,0.25,25000,25000,18000,4250,2750,
11504,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500501,MPPS MUDICHINTALAPALLE,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,50,02_31-100,0.25,25000,25000,18000,4250,2750,
11505,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500502,ZPHS MUDICHITALAPALLE,7,03_HS,01_Govt_Localbody,sec_hsec,08_61 to 70,61,02_31-100,0.25,25000,25000,18000,4250,2750,
11506,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500601,MPPS POTHARAM,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
11507,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500701,MPPS LINGAPUR TANDA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
11508,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500801,MPPS KESAVARAM,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,48,02_31-100,0.25,25000,25000,18000,4250,2750,
11509,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211500804,ZPHS KESAVARAM,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,115,03_101-250,0.50,50000,50000,36000,8500,5500,
11510,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501001,MPPS SAMPONBOLE,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
11511,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501002,MPPS JAGGAMGUDA HW,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
11512,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501003,MPPS JAGGAMGUDA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,50,02_31-100,0.25,25000,25000,18000,4250,2750,
11513,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501101,MPPS ADRASPALLE,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,48,02_31-100,0.25,25000,25000,18000,4250,2750,
11514,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501301,MPPS UDDEMARRI,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,21,01_1-30,0.10,10000,10000,7200,1700,1100,
11515,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501302,MPPS UDDEMARRY HW,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
11516,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501304,ZPHS UDDEMARRI,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,126,03_101-250,0.50,50000,50000,36000,8500,5500,
11517,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501701,MPPS KESAVAPUR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
11518,3621,MEDCHAL MALKAJGIRI,362115,MOODUCHINTHALAPALLY,36211501702,ZPHS KESAVAPUR,7,03_HS,01_Govt_Localbody,sec_hsec,03_11 to 20,18,01_1-30,0.10,10000,10000,7200,1700,1100,
11519,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210400157,MPPS BALAIAHNAGAR,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,49,02_31-100,0.25,25000,25000,18000,4250,2750,
11520,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490101,MPPS SURARAM WEAKER SEC,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,142,03_101-250,0.50,50000,50000,36000,8500,5500,
11521,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490102,MPPS SURARAM,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,171,03_101-250,0.50,50000,50000,36000,8500,5500,
11522,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490103,MPPS METTUKANIGUDA,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,91,02_31-100,0.25,25000,25000,18000,4250,2750,
11523,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490104,MPPS LALSAB GUDA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
11524,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490105,MPPS VIVEKANANDA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,123,03_101-250,0.50,50000,50000,36000,8500,5500,
11525,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490106,MPPS GAJULARAMARAM,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,173,03_101-250,0.50,50000,50000,36000,8500,5500,
11526,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490107,MPPS RING BASTI,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,144,03_101-250,0.50,50000,50000,36000,8500,5500,
11527,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490108,MPPS UMADEVI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,64,02_31-100,0.25,25000,25000,18000,4250,2750,
11528,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490109,MPPS MARKANDEYA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
11529,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490110,MPPS RODAMESTRYNAGAR (UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,129,03_101-250,0.50,50000,50000,36000,8500,5500,
11530,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490111,MPPS AMBEDKAR NAGAR (Quthbullapur),1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,73,02_31-100,0.25,25000,25000,18000,4250,2750,
11531,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490112,MPPS SHIVALAYAM NAGAR,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,80,02_31-100,0.25,25000,25000,18000,4250,2750,
11532,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490113,MPPS RAJIV GANDHI NAGAR (SURARAM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,134,03_101-250,0.50,50000,50000,36000,8500,5500,
11533,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490114,MPPS DP COLONY,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,68,02_31-100,0.25,25000,25000,18000,4250,2750,
11534,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490115,MPPS SHIRDI SAIBABA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,102,03_101-250,0.50,50000,50000,36000,8500,5500,
11535,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490116,MPPS KAISERINAGAR,1,01_PS,01_Govt_Localbody,Elementary,11_91 to 100,99,02_31-100,0.25,25000,25000,18000,4250,2750,
11536,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490117,MPPS QUTHBULLAPUR,1,01_PS,01_Govt_Localbody,Elementary,14_301 to 400,325,04_251-1000,0.75,75000,75000,54000,12750,8250,
11537,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490120,MPPS GIRINAGAR,1,01_PS,01_Govt_Localbody,Elementary,10_81 to 90,86,02_31-100,0.25,25000,25000,18000,4250,2750,
11538,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490121,MPPS RANGA REDDY NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,105,03_101-250,0.50,50000,50000,36000,8500,5500,
11539,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490122,MPPS CHENNA REDDY NAGAR,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,81,02_31-100,0.25,25000,25000,18000,4250,2750,
11540,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490123,MPPS VIJPAI NAGAR,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,66,02_31-100,0.25,25000,25000,18000,4250,2750,
11541,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490124,MPPS GANDHINAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,168,03_101-250,0.50,50000,50000,36000,8500,5500,
11542,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490125,MPPS DATHATHREYANAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,104,03_101-250,0.50,50000,50000,36000,8500,5500,
11543,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490126,MPPS ANJAIAH NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,110,03_101-250,0.50,50000,50000,36000,8500,5500,
11544,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490127,MPPS NANDANAGAR,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,38,02_31-100,0.25,25000,25000,18000,4250,2750,
11545,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490128,MPPS GURUMURTHY NAGAR (TM UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,135,03_101-250,0.50,50000,50000,36000,8500,5500,
11546,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490129,MPPS SHAPOORNAGAR,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,284,04_251-1000,0.75,75000,75000,54000,12750,8250,
11547,3621,MEDCHAL MALKAJGIRI,362104,QUTHBULLAPUR,36210490130,MPPS JAGADGIRINAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,145,03_101-250,0.50,50000,50000,36000,8500,5500,
